username,description,location,following,followers,totaltweets,retweetcount,text,target,hashtags,actual_time
Swedha_RK,Journalist @dtnext,"Chennai, India",186,45,94,1,"As Chennai and its suburbs received heavy rains for the past two days, the Water Resources Department (WRD) increased the outflow from Puzhal lake to 3,000 cusecs of water.

#Chennai #Puzhal #Heavyrains #ChennaiRains #ChennaiRains2021 
https://t.co/7VkYFHlxUg",1,[],2022-01-02 08:57:27+00:00
M_Anantkumar,"Social and animal activist, advocate of sustainable living, organic farming and urban cycling. Founder of Cycle for Pune. Co-founder at https://t.co/gsfXSNEzX6","Pune, India",2019,746,76859,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 12:49:14+00:00
humayunkpvt,"~ 𝘑𝘶𝘴𝘵 𝘢𝘯𝘰𝘵𝘩𝘦𝘳 𝘥𝘳𝘦𝘢𝘮𝘦𝘳... 𝘐𝘴𝘯'𝘵 𝘪𝘵 𝘭𝘰𝘷𝘦𝘭𝘺!
Instagram Link 🔗👇
https://t.co/xo00UcrJ04","Mumbra, Navi Mumbai",1,1,88,33,Next batch of #Rains moving in over parts of #Chennai &amp; suburbs. Heavy rains in a few places. Spell of rains could last for about 30 minutes or so. Further #Comk updates as things evolve. Please stay at home unless there's an absolute need to go out. #ChennaiRains2021 https://t.co/N64y66lXOE,1,"['Rains', 'Chennai']",2022-01-01 07:17:30+00:00
AvineshR2,AVINESH,,71,8,2745,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 13:33:08+00:00
DharmaR87568292,My strength is DAD,,43,10,1926,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 12:09:45+00:00
SaiKishore21s,,,50,2,12,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2022-01-01 05:37:33+00:00
VijayBlood4,"ℰℕℕ⌾ⅅℰ ᗅℕℕℰℕℕ ℰℕℕ⌾ⅅℰ ᝨℍᗅℒᗅℙᗅᝨℍℽ! ❤️❤️

@actorvijay🔥🔥🔥💥💥😍😍🥰🥰

#Msd❣️❣️🔥🔥",,629,475,5452,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 14:15:59+00:00
Chennai_Rains,"Independent weather blogger, not a official forecaster & just a interpreter of available weather models",Chennai,3,9080,2730,7,"#Nungampakkam already got excess rains this January  with 30 mm..Avg around 25 mm..
Rains with breaks to continue to #Chennai &amp; other coastal areas in #TN for next 2 days in #Tamilnadu.Then around #Pongal.
Spot the diff between Elnino years (2015-16) and Lanina years(2021-22)",1,"['Nungampakkam', 'Chennai', 'TN', 'Tamilnadu', 'Pongal']",2021-12-31 11:05:55+00:00
TheSIESDGF,Srishti India Environment and Sustainable Development Goals Foundation #SIESDGF,,25,17,354,9,"Flash Flood: Today #Chennai is flooded after the heavy rains. The destructions of the native drainage systems have been promoted as an advantage, as such #FlashFlood is a round the year affair in #NewIndia and we hope its makers will take a note of the fact. #ChennaiRains2021",1,['Chennai'],2021-12-31 08:05:32+00:00
Hk_Harrish,,,114,22,283,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 09:02:20+00:00
GNANAVELL1,👍IF WE 👉DON'T 😌TAKE📝RESPONSIBILITY👑 OF OUR 👑NATION🇮🇳 WHO ELSE WILL💪👑டீக்கடை☕,ENDIYUR,752,81,791,6,"On Thursday night, following heavy #rains received in #Chennai all evening, 2,000 cusecs of water was discharged from the Chembarambakkam reservoir 
#chennairains #ChennaiRains2021 
Video: Velankanni Raj. B /The Hindu https://t.co/oERlDSY74f",1,"['rains', 'Chennai']",2021-12-31 09:19:21+00:00
AslamBhaiAeroWR,NOTHING BUT ?,TIRUPUR,1570,131,10338,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 09:19:50+00:00
madtrijay,Irreverent non believer....,,587,349,41091,26,"Within days of the receipt of this letter, the Chennai office of IMD says that it does not have the technology to foresee the recent rains. The minister should take note of this. #Chennai #Rain #Flood #People",0,[],2022-01-01 16:13:00+00:00
jaikishoresv,big fan of Sachin&super star,"Tamil Nadu, India",628,73,3410,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 07:58:03+00:00
Masterchintoo,fan account of @actorvijay|@alluarjun fan⚡||THALA MSD🔥🔥|@dulQuer💓|@klrahul11🔥|@thisisysr 💕||spread vijayism🔥| #CSK| #Masterfilm| #Beast| #Kurup| #pushpa|,chennai,956,499,58826,33,Next batch of #Rains moving in over parts of #Chennai &amp; suburbs. Heavy rains in a few places. Spell of rains could last for about 30 minutes or so. Further #Comk updates as things evolve. Please stay at home unless there's an absolute need to go out. #ChennaiRains2021 https://t.co/N64y66lXOE,1,"['Rains', 'Chennai']",2021-12-31 11:31:47+00:00
IbnuFayis,"ஒவ்வோர் ஆத்மாவும் மரணத்தைச் சுகித்தே ஆகவேண்டும்; அன்றியும் - இறுதித் தீர்ப்பு நாளில் தான், உங்க(ள் செய்கைக)ளுக்குரிய பிரதி பலன்கள் முழுமையாகக் கொடுக்கப்படும்.","Kadayanallur, India",857,153,36922,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 09:39:52+00:00
reddevil2607,🇮🇳 | Football. Formula 1. Cricket. Fan of Manchester United. Chennai Super Kings. Indian Cricket Team. ChennaiyinFC. Father. Husband. Dravidian Stock.," Chennai, India",2360,324,5103,1,"If not for this city's reliable and safe suburban trains and metro, we would be rock bottom during rains. We need to increase the spending on storm water drains minus corruption, public transport and ensure proper footpaths on every street which is basic for a good city #Chennai",0,[],2021-12-31 12:36:50+00:00
Ragul53591586,,,140,25,22470,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 08:33:56+00:00
BHUVANE66592640,Thala fan,,94,21,6533,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 08:47:31+00:00
imgavinfrancis,Doctor. Entrepreneur. Wildlife Photpgrapher. Student of Life who lives by the code Love. Live. Life.,Chennai,363,71,758,0,"Rains are not the issue right now!!!
#chennai itself in every context
#chennairains",1,"['chennai', 'chennairains']",2021-12-31 10:55:29+00:00
ie_chennai,Real-time news coverage and features from @indianexpress's Chennai team. | Also: @ietamil | @iebengaluru | @iexpresssouth | @iemalayalam,,23,2669,3181,2,"Days after several parts of #Chennai experienced over 20 cm rainfall, #TamilNadu CM M K Stalin said the Met department usually provided information on likelihood of rainfall, but they could not forecast Thursday's heavy showers.

More updates here.
https://t.co/BlmfR7IdzO",0,"['Chennai', 'TamilNadu']",2022-01-01 06:29:39+00:00
Vijay65748217,,,110,3,1736,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 08:15:06+00:00
MirrorNow,MIRROR NOW's Mission: Demand accountability and relentlessly drive improvement by addressing everyday issues.,India,27,106638,143653,0,"CHENNAI'S FLOOD WOES
#Chennai Flood Disaster Mitigation and Management Committee presented its initial findings to Chief Minister #MKStalin on why #Chennai floods each time it rains and suggested some solutions @Mugilan__C with more details. https://t.co/6akZl1bEKq",0,"['Chennai', 'MKStalin', 'Chennai']",2022-01-04 04:12:27+00:00
PugazhSelvan7,IT student,Coimbatore,72,7,22,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 11:31:35+00:00
rathishseng,Be happy and make others happy.,"Avadi, Tamilnadu",641,154,2506,0,"Full Visuals of Current Situation in Chennai Due to Rain | Red Alert | Heavy rains

Full Video : https://t.co/YjDTc5JMns

#chennairains #TNRains #Heavyrainfall  #chennai #tamilnadu #tamilnadurains #WeatherUpdate #Valimai #NewYear2022 #india https://t.co/IAWc5KiCEB",1,"['chennairains', 'TNRains', 'Heavyrainfall', 'chennai', 'tamilnadu', 'tamilnadurains', 'WeatherUpdate', 'Valimai', 'NewYear2022', 'india']",2021-12-31 12:22:28+00:00
36garhiToora,🕉️ Hindu 卐 | 🇮🇳 Bharatiya 🇮🇳| RTs/Likes ≠ endorsements.,भारत,1228,456,99896,9,"Choodamani Pradanam that most of us missed on 30th due to intense rains being restaged again. Thanks to Kalakshetra for it. How can we miss it ? 😍
#classicalarts #decemberseason #chennai #heritage #culture https://t.co/I3NVK1QkqA",0,[],2022-01-03 18:09:02+00:00
AmmU_MaanU,"I am a GCTian,  thamizh Blogger since 2004. Interests: Cricket, Chess, Sujatha, J.Archer, DivyaPrabandham and of course political discourse :)",Chennai,850,8038,180549,0,"5/ With mini breaks, rains are lashing out at #Chennai. From now on, we will see weather extremes w.r.t cold, heat &amp; the rains. It won't be limited to Chennai, TN, will be across India.
This is the beginning of the end unless we repair our environs.
#ChennaiRains2021 #flooding",1,"['Chennai', 'ChennaiRains2021', 'flooding']",2021-12-31 10:12:10+00:00
Mee_Sumanth,#TDPtwitter #MemberofCTF,"Chennai, India",448,243,20895,4,"#Chennai Rain Live Updates: CM MK Stalin visits flood control room, several subways closed.
Read More: https://t.co/8ZrTYoIF3c 

#MKStalin #Rains https://t.co/7sp7KSTSI6",1,['Chennai'],2021-12-31 14:11:17+00:00
TheKavyaMishra,,,1778,1151,17126,154,"Heavy rains in #TamilNadu cause 3 deaths, parts of #Chennai waterlogged 

#ChennaiRain #ChennaiRains2021 #chennaifloods

https://t.co/7V5nWkOKes #latest_news",1,"['TamilNadu', 'Chennai', 'ChennaiRain', 'ChennaiRains2021']",2021-12-31 07:51:01+00:00
STR_FAN_,,,108,216,48597,20,"Wishing all our wellwishers A Happy &amp; Prosperous New Year on behalf of the #COMK Family.  While #Chennai &amp; suburbs could see substantial reduction in #Rains today, coastal delta needs to be wary of sudden burst of heavy rains as convergence moves south. https://t.co/yrerKbFuHF https://t.co/tAREHNxfLI",1,"['COMK', 'Chennai']",2022-01-01 09:41:23+00:00
The_Storm_Man,"Weather Enthusiast from Delta, Tamil Nadu, India.
(TropicalCycloneTracker)
Forecast are based on my personal Observation.
Official Forecast Follow IMD","Thiruvarur, Tamil Nadu",360,1365,1747,3,Lot of developments seen happening for last few hours along #Chennai  &amp; adj coastline. Rains occuring on &amp; off with varying intensity   sat image courtesy: @IMDWeather https://t.co/I2s8VbcurK,1,['Chennai'],2021-12-31 12:01:49+00:00
TvofcV,"Spread Vijayism ❣️

THALAPATHY Veriyan 🔥🔥😈

தாய் தந்தை தளபதி ❤️💖",,53,28,2688,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 10:35:19+00:00
Surya40104575,BIG FAN OF THALA🔥,,23,24,147,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2022-01-01 04:11:06+00:00
rajkumar488,😏,"Chennai, Tamil Nadu, INDIA",581,223,17694,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 09:16:06+00:00
sk_sharukhan,"! IAM A  MORATTU SINGLE😎
!! THALA VERIYAN🤠
!!! NAYANTHARA PIRIYAN😍
4 IAM CIVIL ENGINEERING😈
5 IAM LIVING IN TRICHY🙏
6 YUVAN SHANKAR RAJA MUSIC I LIKE IT💝","Lalgudi, India",972,43,8373,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 12:20:00+00:00
mohamme89211133,"my god always with me anytime  
Nothing personal just service",redhills chennai,1823,618,95572,1,"Rains, actually partying in #Chennai &amp; how it can miss out of its fab citi🙂🙂 on the eve of #Twenty22 🪁🪁

#chennairains",0,"['Chennai', 'Twenty22', 'chennairains']",2021-12-31 08:30:44+00:00
shivBuddh,Tech  Professional; RTs not endorsements.,Milky Way-Sun-Earth,373,308,55658,2,"As #Chennai went through another major flooding, the importance of the Pallikarnai marsh came to the fore once again.

https://t.co/4BjpwKBQPa",1,['Chennai'],2022-01-04 00:00:34+00:00
PushparajPrave4,,,150,1,288,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 08:06:03+00:00
THChennai,The official twitter account of The Hindu's reporters in Chennai and across Tamil Nadu. Follow us for breaking news about the city and the State.,"Chennai, India",349,113687,46047,6,"On Thursday night, following heavy #rains received in #Chennai all evening, 2,000 cusecs of water was discharged from the Chembarambakkam reservoir 
#chennairains #ChennaiRains2021 
Video: Velankanni Raj. B /The Hindu https://t.co/oERlDSY74f",1,"['rains', 'Chennai', 'chennairains', 'ChennaiRains2021']",2021-12-31 08:00:55+00:00
suriyafan23,die heart suriya fan,Chennai,687,556,4144,33,Next batch of #Rains moving in over parts of #Chennai &amp; suburbs. Heavy rains in a few places. Spell of rains could last for about 30 minutes or so. Further #Comk updates as things evolve. Please stay at home unless there's an absolute need to go out. #ChennaiRains2021 https://t.co/N64y66lXOE,1,"['Rains', 'Chennai']",2021-12-31 10:53:13+00:00
selvam_Rajkumar,,"Chennai, India",1730,283,54151,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 07:46:09+00:00
ChennaiRains,Independent Weather Blog from Chennai. Please follow IMD for all official weather forecasts.,"Chennai, India",233,130965,35085,27,"Parts of #Chennai coming under some fairly heavy spell of #Rains, we could see #thunderstorms develop as the rain clouds move across the land.  Slow moving storms so the rains could be very heavy in one or two places. #COMK #ChennaiRains. #ChennaiRains2021 https://t.co/T7APb3X6ez",1,"['Chennai', 'Rains', 'thunderstorms', 'COMK', 'ChennaiRains', 'ChennaiRains2021']",2021-12-31 07:47:50+00:00
fdrkarthik,🐕🐈🐟🐒🐦@ Hyd😀👍🏼,,2135,44,4451,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 16:06:52+00:00
Vignesh89723933,,"Salem, NH",22,4,642,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 07:53:32+00:00
joseph_vicky17,"சுயநலவாதி ,
கோபக்காரன்,
@actorvijay @arya_offl @dhanushkraja
@msdhoni @imvkohli @itisthatis ❣️ நல்ல இசையை கேட்கும் போது புதிதாக பிறக்கிறோம்","Tamil Nadu, India",496,871,152965,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 07:46:53+00:00
karthikeyan770,I am Karthikeyan.N. Roger Federer fan. Want to say more but what to say. The Small Boy in my Cover Photo stole my heart and having it since 2005. @rogerfederer,Chennai,2517,120,1169,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 12:05:42+00:00
Akashvfc6464,"Thalapathy രസികൻ 😘
kerala💪",,91,158,42678,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 08:12:36+00:00
feel_songs,"vijay fans
தமிழன்டா","Goregaon East, Mumbai",335,88,1890,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 13:04:28+00:00
CRammurthi,belong to Dravidian stock.DMK. பிஎஸ்சி electronics .,Tamilnadu,3347,1910,44124,26,"Within days of the receipt of this letter, the Chennai office of IMD says that it does not have the technology to foresee the recent rains. The minister should take note of this. #Chennai #Rain #Flood #People",0,[],2022-01-01 10:22:47+00:00
itz_my_official,"I deserve nothing ✌🏻But God gives me everything🌺💕 first 😭 on Aug, proud to be Thala fan","Chennai, India",122,72,21013,33,Next batch of #Rains moving in over parts of #Chennai &amp; suburbs. Heavy rains in a few places. Spell of rains could last for about 30 minutes or so. Further #Comk updates as things evolve. Please stay at home unless there's an absolute need to go out. #ChennaiRains2021 https://t.co/N64y66lXOE,1,"['Rains', 'Chennai']",2021-12-31 10:32:26+00:00
Anees_Offl,My Tweets are Personal. live n let live. we only have 1 life. RT’s are not endorsements. #Chennai #Trichy #KamalHaasan #Photography,"Chennai, India",598,2177,42075,84,Apologies to everyone for not able to pick up this high intensity rains today. No #Weather models picked. Moderate to heavy spell of #Rains to continue for the next couple of hours at least over #Chennai and surrounding. It's better to stay wherever you are. #chennairains #COMK https://t.co/Ns2UWiCcO5,0,['Weather'],2021-12-31 09:28:57+00:00
ArvinRaja29,Proud Mechanical Engineer & MsDian,,216,2,425,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 12:01:52+00:00
BilalJo19649405,Main ID @SubinSabeer,,299,290,5314,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 10:10:09+00:00
Morattu18583081,møràttû ßïñglê...😎,,120,9,4868,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 12:44:54+00:00
GokulBobby1,Thalapathy ❣️,,85,76,9568,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 11:46:51+00:00
TamilnaduPress,,,139,92,23,3,"To be fair @ChennaiRmc gave weather forecast during the entire #monsoon without crucial upper air data. Failure to predict recent #Chennai rains was largely due to unavailability this crucial observations.

@NewIndianXpress
@xpresstn @mkstalin

Thread👇

https://t.co/CAMwnfUYjl",1,['monsoon'],2022-01-01 10:54:59+00:00
Sanjeev12716943,"Sanjeevi South Street , govindakudi",,55,17,3096,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 10:30:21+00:00
Rajkumarvee69,"அபூர்ணமானவன்! அபூர்வமானவனல்லன்! மொழிக்காதலன்!
மணமானவன்! 🌷🌷",,4769,2460,23369,26,"Within days of the receipt of this letter, the Chennai office of IMD says that it does not have the technology to foresee the recent rains. The minister should take note of this. #Chennai #Rain #Flood #People",0,[],2022-01-01 12:54:05+00:00
dipuiant,keep smiling 😀 life is short make it sweet and thoughtful,Vadodara,707,203,48386,4,"Chennai's flood woes: Why city overflows each time it rains?

#Chennai

https://t.co/do9qJjStpa",0,['Chennai'],2022-01-04 06:47:01+00:00
saran03tweets,,,152,317,7112,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 07:47:19+00:00
THALADA22487867,Thala blood,"Karaikudi,",117,70,6208,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 08:44:35+00:00
cherrymp,"Learns, Works, Lives, Repeat | #edtech enthusiast | #ELTIndia | common man | daddy | all views personal | RTs not endorsements",India,1067,2861,31154,20,"Wishing all our wellwishers A Happy &amp; Prosperous New Year on behalf of the #COMK Family.  While #Chennai &amp; suburbs could see substantial reduction in #Rains today, coastal delta needs to be wary of sudden burst of heavy rains as convergence moves south. https://t.co/yrerKbFuHF https://t.co/tAREHNxfLI",1,"['COMK', 'Chennai']",2022-01-01 01:20:42+00:00
KrishnChrist,"Results @JPsingh12 'जो Gita वही सिकंदर' Ninja 🌐 

क्री Verb = कर Do Work 🤡
क्रीड़ा = Game or Sports 🇮🇳
Feel Good, now?
#T20!",Gokul,4,5,872,15,"#Chennai rains: Heavy rainfall warning in four #TamilNadu districts
#ITVideo #chennairains #rains https://t.co/GpOgayd16x",1,"['Chennai', 'TamilNadu', 'ITVideo', 'chennairains', 'rains']",2021-12-31 09:52:26+00:00
karthickThala1,ONLY AK AND AJITH KUMAR,India,266,69,27134,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 17:47:58+00:00
AadhikB,Live and 💖Let Live,,502,144,10278,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 08:28:01+00:00
weezytunechii,| Kishore | 94 | IG : @weezytunechii |,Malaysia,87,479,40898,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 10:17:35+00:00
iam_jawahar_js,Thala veriyan #என்றும்_தலஅஜித்,"Chennai, India",1200,1209,44337,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 07:55:45+00:00
IamShanmuga,,"Chennai, India",144,190,45722,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 08:04:18+00:00
NammaTamilnadu_,News and Updates from Tamilnadu. தமிழ்நாட்டை பற்றிய அனைத்து தகவல் மற்றும் செய்திகள். #news #sports #cinema Human + bot combination. RT #tamil #tn #tamilnadu,"Tamil Nadu, India",0,30,1137,1,"https://t.co/zm9Qy5p7Lr
Heavy rains lash Chennai, three dead
#Heavyrains #Chennai #Chennaiflood #TamilNadu #DisasterManagement #ministers https://t.co/1fqGMDHK7G",0,"['Heavyrains', 'Chennai', 'Chennaiflood', 'TamilNadu']",2021-12-31 15:30:03+00:00
arnoldindia,#Learner #Atheist | Belong to the #DravidianStock,Chengalpattu,538,660,86677,26,"Within days of the receipt of this letter, the Chennai office of IMD says that it does not have the technology to foresee the recent rains. The minister should take note of this. #Chennai #Rain #Flood #People",0,[],2022-01-01 13:42:17+00:00
Gowtham77653457,Believe In your...Self..,,197,3,625,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 07:51:39+00:00
Abishek21834771,Aim to spread vijayism 💯💖,,97,2,51,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 13:44:21+00:00
mid_day,"All things #MadeinMumbai 
News | Entertainment | Sports and much more
Subscribe to #MiddayDigitalTabloid

https://t.co/CPq2qe1guK","Mumbai, India",148,678899,177340,0,"#MiddayNews |

After heavy rains, govt offices, schools, colleges shut in #Chennai, adjoining districts 

https://t.co/HUyGruOB5A",1,"['MiddayNews', 'Chennai']",2021-12-31 09:30:00+00:00
sivakumarie,"Special Correspondent, The New Indian Express. Covering Madras High Court, Views, RTs personal","Chennai, Tamil Nadu",1454,2289,4298,27,"Parts of #Chennai coming under some fairly heavy spell of #Rains, we could see #thunderstorms develop as the rain clouds move across the land.  Slow moving storms so the rains could be very heavy in one or two places. #COMK #ChennaiRains. #ChennaiRains2021 https://t.co/T7APb3X6ez",1,"['Chennai', 'Rains', 'thunderstorms']",2021-12-31 08:03:03+00:00
EzhilAfc,THALA ajith die hard fan😍😎  yuvan 🎶 MSD 💪   Madonna ❤️💕,chennai,242,190,15426,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 09:41:11+00:00
HereWorks,"We are a Media Blog where you can Hear/Lear/See everything, coz Everything Works Here...!!",,58,1721,3561,2,"A new study involving 3 popular climate modelshas revealed that Tamil Nadu’s 1,076 km of coast, including Chennai will witness extreme spells of rains during the northeast monsoon in 2020-2030 

#1ShotNews | #Chennai | #ChennaiRains | #Tamilnadu | #TamilnaduNews https://t.co/L0fOLu93Pt",0,"['1ShotNews', 'Chennai', 'ChennaiRains', 'Tamilnadu', 'TamilnaduNews']",2021-12-31 10:47:11+00:00
warrior_saint29,मां और मातृभूमि 🇮🇳 से बढ़कर कुछ नही।🙏,India( That is Bharat),696,163,14579,3,"Visuals of flooded areas from #Chennai after heavy rains lashed the #TamilNadu capital on Friday, #31stDecember.

#ChennaiFloods #ChennaiRains

📸: S Kumar/BCCL Chennai https://t.co/6E9j9eNaSa",1,"['Chennai', 'TamilNadu', '31stDecember']",2021-12-31 11:56:38+00:00
mersy_dine_003,#Thalapathy ✨ is enough 😌,Chennai,1031,506,61459,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 08:05:13+00:00
featherlytouch,"Global Citizen. Dravidian stock. 
nature and humanity fan",India,1208,289,92625,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 09:52:48+00:00
SivaKum33228322,Indian,,43,6,732,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 14:33:24+00:00
telugustop,https://t.co/vz51VjQJYk is one stop source for Telugu News from Andhra Pradesh / Telangana & Around World.Please follow TeluguStop Media & Stay Tuned info@telugustop.com,India,805,44730,97007,0,"More rains for coastal Tamil Nadu, cold wave to continue in NW India: IMD https://t.co/vbgQ9oXL8x #Chandigarh #Chennai #Delhi #Haryana #Himachalpradesh",1,"['Chandigarh', 'Chennai', 'Delhi', 'Haryana', 'Himachalpradesh']",2022-01-01 15:35:33+00:00
ThirumalaiGopal,,,139,76,43443,26,"Within days of the receipt of this letter, the Chennai office of IMD says that it does not have the technology to foresee the recent rains. The minister should take note of this. #Chennai #Rain #Flood #People",0,[],2022-01-01 13:51:05+00:00
ChennaiRains,Independent Weather Blog from Chennai. Please follow IMD for all official weather forecasts.,"Chennai, India",233,130965,35085,33,Next batch of #Rains moving in over parts of #Chennai &amp; suburbs. Heavy rains in a few places. Spell of rains could last for about 30 minutes or so. Further #Comk updates as things evolve. Please stay at home unless there's an absolute need to go out. #ChennaiRains2021 https://t.co/N64y66lXOE,1,"['Rains', 'Chennai', 'Comk', 'ChennaiRains2021']",2021-12-31 09:58:46+00:00
MohanPaul7,".............................................................
Mee istam vachindi anukondi",Hyderabad 🔁 Guntur,694,1154,57898,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 11:26:58+00:00
LeninrajVJ,"😍😍Thalapathy Rasigan  😎😎//

My LiFe My RuLes

 //  Fan of RaiNa😍😎 & // CR7😍😎","Pondicherry, India",1724,913,20048,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 12:21:08+00:00
