text,PreprocessedText,Words,Tag
"@sumanthraman @rvaidya2000 In Nov.’21 #Retail #sales were affected for 7-8 days with atleast 1 day fully shut and 3-4 days partially shut in #Chennai. RoTN was impacted by rains all month, almost. With #Deepavali #shopping over, there was already a lull. Still, the way State #economy bounced was impeccable",sumanthraman rvaidya In Nov Retail sales were affected fordays with atleastday fully shut anddays partially shut in Chennai RoTN was impacted by rains all month almost With Deepavali shopping over there was already a lull Still the way State economy bounced was impeccable,sumanthraman,O
"@sumanthraman @rvaidya2000 In Nov.’21 #Retail #sales were affected for 7-8 days with atleast 1 day fully shut and 3-4 days partially shut in #Chennai. RoTN was impacted by rains all month, almost. With #Deepavali #shopping over, there was already a lull. Still, the way State #economy bounced was impeccable",sumanthraman rvaidya In Nov Retail sales were affected fordays with atleastday fully shut anddays partially shut in Chennai RoTN was impacted by rains all month almost With Deepavali shopping over there was already a lull Still the way State economy bounced was impeccable,Retail sales,O
"@sumanthraman @rvaidya2000 In Nov.’21 #Retail #sales were affected for 7-8 days with atleast 1 day fully shut and 3-4 days partially shut in #Chennai. RoTN was impacted by rains all month, almost. With #Deepavali #shopping over, there was already a lull. Still, the way State #economy bounced was impeccable",sumanthraman rvaidya In Nov Retail sales were affected fordays with atleastday fully shut anddays partially shut in Chennai RoTN was impacted by rains all month almost With Deepavali shopping over there was already a lull Still the way State economy bounced was impeccable,Chennai,B-geo
"@sumanthraman @rvaidya2000 In Nov.’21 #Retail #sales were affected for 7-8 days with atleast 1 day fully shut and 3-4 days partially shut in #Chennai. RoTN was impacted by rains all month, almost. With #Deepavali #shopping over, there was already a lull. Still, the way State #economy bounced was impeccable",sumanthraman rvaidya In Nov Retail sales were affected fordays with atleastday fully shut anddays partially shut in Chennai RoTN was impacted by rains all month almost With Deepavali shopping over there was already a lull Still the way State economy bounced was impeccable,Deepavali,O
"@sumanthraman @rvaidya2000 In Nov.’21 #Retail #sales were affected for 7-8 days with atleast 1 day fully shut and 3-4 days partially shut in #Chennai. RoTN was impacted by rains all month, almost. With #Deepavali #shopping over, there was already a lull. Still, the way State #economy bounced was impeccable",sumanthraman rvaidya In Nov Retail sales were affected fordays with atleastday fully shut anddays partially shut in Chennai RoTN was impacted by rains all month almost With Deepavali shopping over there was already a lull Still the way State economy bounced was impeccable,State,O
"@sumanthraman @rvaidya2000 In Nov.’21 #Retail #sales were affected for 7-8 days with atleast 1 day fully shut and 3-4 days partially shut in #Chennai. RoTN was impacted by rains all month, almost. With #Deepavali #shopping over, there was already a lull. Still, the way State #economy bounced was impeccable",sumanthraman rvaidya In Nov Retail sales were affected fordays with atleastday fully shut anddays partially shut in Chennai RoTN was impacted by rains all month almost With Deepavali shopping over there was already a lull Still the way State economy bounced was impeccable,economy,O
"@sumanthraman @rvaidya2000 In Nov.’21 #Retail #sales were affected for 7-8 days with atleast 1 day fully shut and 3-4 days partially shut in #Chennai. RoTN was impacted by rains all month, almost. With #Deepavali #shopping over, there was already a lull. Still, the way State #economy bounced was impeccable",sumanthraman rvaidya In Nov Retail sales were affected fordays with atleastday fully shut anddays partially shut in Chennai RoTN was impacted by rains all month almost With Deepavali shopping over there was already a lull Still the way State economy bounced was impeccable,bounced,O
"@sumanthraman @rvaidya2000 In Nov.’21 #Retail #sales were affected for 7-8 days with atleast 1 day fully shut and 3-4 days partially shut in #Chennai. RoTN was impacted by rains all month, almost. With #Deepavali #shopping over, there was already a lull. Still, the way State #economy bounced was impeccable",sumanthraman rvaidya In Nov Retail sales were affected fordays with atleastday fully shut anddays partially shut in Chennai RoTN was impacted by rains all month almost With Deepavali shopping over there was already a lull Still the way State economy bounced was impeccable,impeccable,O
"@tamilnadugalata just 3 yrs old mall collapsing for 3-4 hrs of heavy rains??
#VRmall
#chennairains 
#chennaifloods #chennaitraffic #Chennai #ChennaiRains2021",tamilnadugalata justyrs old mall collapsing forhrs of heavy rainsVRmallchennairains chennaifloods chennaitraffic Chennai ChennaiRains,tamilnadugalata,O
"@tamilnadugalata just 3 yrs old mall collapsing for 3-4 hrs of heavy rains??
#VRmall
#chennairains 
#chennaifloods #chennaitraffic #Chennai #ChennaiRains2021",tamilnadugalata justyrs old mall collapsing forhrs of heavy rainsVRmallchennairains chennaifloods chennaitraffic Chennai ChennaiRains,justyrs,O
"@tamilnadugalata just 3 yrs old mall collapsing for 3-4 hrs of heavy rains??
#VRmall
#chennairains 
#chennaifloods #chennaitraffic #Chennai #ChennaiRains2021",tamilnadugalata justyrs old mall collapsing forhrs of heavy rainsVRmallchennairains chennaifloods chennaitraffic Chennai ChennaiRains,collapsing,O
"@tamilnadugalata just 3 yrs old mall collapsing for 3-4 hrs of heavy rains??
#VRmall
#chennairains 
#chennaifloods #chennaitraffic #Chennai #ChennaiRains2021",tamilnadugalata justyrs old mall collapsing forhrs of heavy rainsVRmallchennairains chennaifloods chennaitraffic Chennai ChennaiRains,VRmall,B-geo
"@tamilnadugalata just 3 yrs old mall collapsing for 3-4 hrs of heavy rains??
#VRmall
#chennairains 
#chennaifloods #chennaitraffic #Chennai #ChennaiRains2021",tamilnadugalata justyrs old mall collapsing forhrs of heavy rainsVRmallchennairains chennaifloods chennaitraffic Chennai ChennaiRains,VR Mall,B-geo
"@TheHatmanTweets @chennaicorp Same story again. Heavy water logging again. Rangarajapuram, 2 wheeler subway, Parangusapuram, Subramania nagar all flooded #chennaifloods @GSBediIAS @CMOTamilnadu",TheHatmanTweets chennaicorp Same story again Heavy water logging again Rangarajapuramwheeler subway Parangusapuram Subramania nagar all flooded chennaifloods GSBediIAS CMOTamilnadu,TheHatmanTweets,O
"@TheHatmanTweets @chennaicorp Same story again. Heavy water logging again. Rangarajapuram, 2 wheeler subway, Parangusapuram, Subramania nagar all flooded #chennaifloods @GSBediIAS @CMOTamilnadu",TheHatmanTweets chennaicorp Same story again Heavy water logging again Rangarajapuramwheeler subway Parangusapuram Subramania nagar all flooded chennaifloods GSBediIAS CMOTamilnadu,chennaicorp,O
"@TheHatmanTweets @chennaicorp Same story again. Heavy water logging again. Rangarajapuram, 2 wheeler subway, Parangusapuram, Subramania nagar all flooded #chennaifloods @GSBediIAS @CMOTamilnadu",TheHatmanTweets chennaicorp Same story again Heavy water logging again Rangarajapuramwheeler subway Parangusapuram Subramania nagar all flooded chennaifloods GSBediIAS CMOTamilnadu,Rangarajapuram,B-geo
"@TheHatmanTweets @chennaicorp Same story again. Heavy water logging again. Rangarajapuram, 2 wheeler subway, Parangusapuram, Subramania nagar all flooded #chennaifloods @GSBediIAS @CMOTamilnadu",TheHatmanTweets chennaicorp Same story again Heavy water logging again Rangarajapuramwheeler subway Parangusapuram Subramania nagar all flooded chennaifloods GSBediIAS CMOTamilnadu,subway,B-geo
"@TheHatmanTweets @chennaicorp Same story again. Heavy water logging again. Rangarajapuram, 2 wheeler subway, Parangusapuram, Subramania nagar all flooded #chennaifloods @GSBediIAS @CMOTamilnadu",TheHatmanTweets chennaicorp Same story again Heavy water logging again Rangarajapuramwheeler subway Parangusapuram Subramania nagar all flooded chennaifloods GSBediIAS CMOTamilnadu,Parangusapuram,B-geo
"@TheHatmanTweets @chennaicorp Same story again. Heavy water logging again. Rangarajapuram, 2 wheeler subway, Parangusapuram, Subramania nagar all flooded #chennaifloods @GSBediIAS @CMOTamilnadu",TheHatmanTweets chennaicorp Same story again Heavy water logging again Rangarajapuramwheeler subway Parangusapuram Subramania nagar all flooded chennaifloods GSBediIAS CMOTamilnadu,Subramania,B-geo
"@TheHatmanTweets @chennaicorp Same story again. Heavy water logging again. Rangarajapuram, 2 wheeler subway, Parangusapuram, Subramania nagar all flooded #chennaifloods @GSBediIAS @CMOTamilnadu",TheHatmanTweets chennaicorp Same story again Heavy water logging again Rangarajapuramwheeler subway Parangusapuram Subramania nagar all flooded chennaifloods GSBediIAS CMOTamilnadu,nagar,B-geo
"@TheHatmanTweets @chennaicorp Same story again. Heavy water logging again. Rangarajapuram, 2 wheeler subway, Parangusapuram, Subramania nagar all flooded #chennaifloods @GSBediIAS @CMOTamilnadu",TheHatmanTweets chennaicorp Same story again Heavy water logging again Rangarajapuramwheeler subway Parangusapuram Subramania nagar all flooded chennaifloods GSBediIAS CMOTamilnadu,subramania nagar,B-geo
"@TheHatmanTweets @chennaicorp Same story again. Heavy water logging again. Rangarajapuram, 2 wheeler subway, Parangusapuram, Subramania nagar all flooded #chennaifloods @GSBediIAS @CMOTamilnadu",TheHatmanTweets chennaicorp Same story again Heavy water logging again Rangarajapuramwheeler subway Parangusapuram Subramania nagar all flooded chennaifloods GSBediIAS CMOTamilnadu,flooded,O
"@TheHatmanTweets @chennaicorp Same story again. Heavy water logging again. Rangarajapuram, 2 wheeler subway, Parangusapuram, Subramania nagar all flooded #chennaifloods @GSBediIAS @CMOTamilnadu",TheHatmanTweets chennaicorp Same story again Heavy water logging again Rangarajapuramwheeler subway Parangusapuram Subramania nagar all flooded chennaifloods GSBediIAS CMOTamilnadu,chennaifloods,O
@UpdatesChennai @ChennaiFlights @ChennaiRains @praddy06 @ChennaiRmc @IMDWeather Update on traffic as of 7:45 pm. Severe outlook for rain in the next 12 hrs. Expecting Rain to cross 25 cm in the night.  #ChennaiRains #Chennai #chennaifloods,UpdatesChennai ChennaiFlights ChennaiRains praddy ChennaiRmc IMDWeather Update on traffic as ofpm Severe outlook for rain in the nexthrs Expecting Rain to crosscm in the nightChennaiRains Chennai chennaifloods,UpdatesChennai,O
@UpdatesChennai @ChennaiFlights @ChennaiRains @praddy06 @ChennaiRmc @IMDWeather Update on traffic as of 7:45 pm. Severe outlook for rain in the next 12 hrs. Expecting Rain to cross 25 cm in the night.  #ChennaiRains #Chennai #chennaifloods,UpdatesChennai ChennaiFlights ChennaiRains praddy ChennaiRmc IMDWeather Update on traffic as ofpm Severe outlook for rain in the nexthrs Expecting Rain to crosscm in the nightChennaiRains Chennai chennaifloods,ChennaiFlights,O
@UpdatesChennai @ChennaiFlights @ChennaiRains @praddy06 @ChennaiRmc @IMDWeather Update on traffic as of 7:45 pm. Severe outlook for rain in the next 12 hrs. Expecting Rain to cross 25 cm in the night.  #ChennaiRains #Chennai #chennaifloods,UpdatesChennai ChennaiFlights ChennaiRains praddy ChennaiRmc IMDWeather Update on traffic as ofpm Severe outlook for rain in the nexthrs Expecting Rain to crosscm in the nightChennaiRains Chennai chennaifloods,praddy,O
@UpdatesChennai @ChennaiFlights @ChennaiRains @praddy06 @ChennaiRmc @IMDWeather Update on traffic as of 7:45 pm. Severe outlook for rain in the next 12 hrs. Expecting Rain to cross 25 cm in the night.  #ChennaiRains #Chennai #chennaifloods,UpdatesChennai ChennaiFlights ChennaiRains praddy ChennaiRmc IMDWeather Update on traffic as ofpm Severe outlook for rain in the nexthrs Expecting Rain to crosscm in the nightChennaiRains Chennai chennaifloods,Chennairmc,O
@UpdatesChennai @ChennaiFlights @ChennaiRains @praddy06 @ChennaiRmc @IMDWeather Update on traffic as of 7:45 pm. Severe outlook for rain in the next 12 hrs. Expecting Rain to cross 25 cm in the night.  #ChennaiRains #Chennai #chennaifloods,UpdatesChennai ChennaiFlights ChennaiRains praddy ChennaiRmc IMDWeather Update on traffic as ofpm Severe outlook for rain in the nexthrs Expecting Rain to crosscm in the nightChennaiRains Chennai chennaifloods,IMDWeather,O
@UpdatesChennai @ChennaiFlights @ChennaiRains @praddy06 @ChennaiRmc @IMDWeather Update on traffic as of 7:45 pm. Severe outlook for rain in the next 12 hrs. Expecting Rain to cross 25 cm in the night.  #ChennaiRains #Chennai #chennaifloods,UpdatesChennai ChennaiFlights ChennaiRains praddy ChennaiRmc IMDWeather Update on traffic as ofpm Severe outlook for rain in the nexthrs Expecting Rain to crosscm in the nightChennaiRains Chennai chennaifloods,nightChennaiRains,O
@UpdatesChennai @ChennaiFlights @ChennaiRains @praddy06 @ChennaiRmc @IMDWeather Update on traffic as of 7:45 pm. Severe outlook for rain in the next 12 hrs. Expecting Rain to cross 25 cm in the night.  #ChennaiRains #Chennai #chennaifloods,UpdatesChennai ChennaiFlights ChennaiRains praddy ChennaiRmc IMDWeather Update on traffic as ofpm Severe outlook for rain in the nexthrs Expecting Rain to crosscm in the nightChennaiRains Chennai chennaifloods,Chennai,B-geo
@UpdatesChennai @ChennaiFlights @ChennaiRains @praddy06 @ChennaiRmc @IMDWeather Update on traffic as of 7:45 pm. Severe outlook for rain in the next 12 hrs. Expecting Rain to cross 25 cm in the night.  #ChennaiRains #Chennai #chennaifloods,UpdatesChennai ChennaiFlights ChennaiRains praddy ChennaiRmc IMDWeather Update on traffic as ofpm Severe outlook for rain in the nexthrs Expecting Rain to crosscm in the nightChennaiRains Chennai chennaifloods,severe,O
@UpdatesChennai @ChennaiFlights @ChennaiRains @praddy06 @ChennaiRmc @IMDWeather Update on traffic as of 7:45 pm. Severe outlook for rain in the next 12 hrs. Expecting Rain to cross 25 cm in the night.  #ChennaiRains #Chennai #chennaifloods,UpdatesChennai ChennaiFlights ChennaiRains praddy ChennaiRmc IMDWeather Update on traffic as ofpm Severe outlook for rain in the nexthrs Expecting Rain to crosscm in the nightChennaiRains Chennai chennaifloods,Expecting,O
